local_path,base_name,cloudinary_url
assets/brand/logo-icon.png,logo-icon,"https://res.cloudinary.com/dmj9fqkrl/image/upload/f_auto,q_85/v1779027460/logo-icon_lxo0z0.png"
assets/heroes/dashboard-hero.png,dashboard-hero,"https://res.cloudinary.com/dmj9fqkrl/image/upload/f_auto,q_85/v1779027463/dashboard-hero_wzkidr.png"
assets/heroes/define-hero.png,define-hero,"https://res.cloudinary.com/dmj9fqkrl/image/upload/f_auto,q_85/v1779027464/define-hero_ntdoum.png"
assets/heroes/empathy-hero.png,empathy-hero,"https://res.cloudinary.com/dmj9fqkrl/image/upload/f_auto,q_85/v1779027465/empathy-hero_x0oyec.png"
assets/heroes/ideate-hero.png,ideate-hero,"https://res.cloudinary.com/dmj9fqkrl/image/upload/f_auto,q_85/v1779027468/ideate-hero_n5cgy2.png"
assets/heroes/profile-hero.png,profile-hero,"https://res.cloudinary.com/dmj9fqkrl/image/upload/f_auto,q_85/v1779027468/profile-hero_gwcd13.png"
assets/heroes/prototype-hero.png,prototype-hero,"https://res.cloudinary.com/dmj9fqkrl/image/upload/f_auto,q_85/v1779027469/prototype-hero_nxxquj.png"
assets/heroes/registration-hero.png,registration-hero,"https://res.cloudinary.com/dmj9fqkrl/image/upload/f_auto,q_85/v1779027471/registration-hero_ftjjck.png"
assets/heroes/testing-hero.png,testing-hero,"https://res.cloudinary.com/dmj9fqkrl/image/upload/f_auto,q_85/v1779027472/testing-hero_zf7c61.png"
assets/heroes/welcome-hero.png,welcome-hero,"https://res.cloudinary.com/dmj9fqkrl/image/upload/f_auto,q_85/v1779027474/welcome-hero_y80zr8.png"
assets/icons/pillars/improve.png,improve,"https://res.cloudinary.com/dmj9fqkrl/image/upload/f_auto,q_85/v1779027514/improve_f18ngx.png"
assets/icons/pillars/test.png,test,"https://res.cloudinary.com/dmj9fqkrl/image/upload/f_auto,q_85/v1779027515/test_mvl3ia.png"
assets/icons/pillars/think.png,think,"https://res.cloudinary.com/dmj9fqkrl/image/upload/f_auto,q_85/v1779027516/think_nltbku.png"
assets/illustrations/empathy-card.png,empathy-card,"https://res.cloudinary.com/dmj9fqkrl/image/upload/f_auto,q_85/v1779027538/empathy-card_morfcp.png"
assets/shared/pink-blob.png,pink-blob,"https://res.cloudinary.com/dmj9fqkrl/image/upload/f_auto,q_85/v1779027549/pink-blob_jakcn5.png"
